age,gender,Symptom1,Symptom2,Symptom3,Symptom4,Symptom5,Symptom6,Symptom7,Symptom8,Symptom9,Symptom10,Symptom11,Symptom12,diseases,Description
old adult,both,Blood in the Stool,Changes in Bowel Habits,Abdominal Discomfort,Weakness and Fatigue,Weight Loss,Incomplete Bowel Emptying,Abdominal Distension,none,none,none,none,none,Colon Cancer,"Colon cancer, also known as colorectal cancer, is a type of cancer that starts in the colon or rectum. It is one of the most common types of cancer worldwide."
all,both,Indigestion,Weight Loss,Loss of Appetite,Abdominal Pain,Nausea,Difficulty Swallowing,Fatigue,Anemia,Blood in Stool,none,none,none,Stomach cancer,"Stomach cancer, also known as gastric cancer, is a type of cancer that originates in the cells lining the stomach. It is a relatively common cancer worldwide but is often diagnosed at an advanced stage."
all,both,Fatigue,Jaundice,Itching,Swelling,Ascites,Spider Angiomas,Confusion,Weight Loss,Muscle Wasting,Nausea,Vomiting,none,Liver cirrhosis,"Liver cirrhosis is a late stage of scarring (fibrosis) of the liver caused by many forms of liver diseases and conditions, such as hepatitis and chronic alcoholism. It can lead to liver failure if not properly managed"
all,both,Fatigue,Fever,Weight Loss,Night Sweats,Bone Pain,Easy Bruising,Frequent Infections,Enlarged Lymph Nodes,Sallow Skin,Shortness of Breath,Frequent Headaches,Abdominal Discomfort,Leukemia,"Leukemia is a type of cancer that affects the blood and bone marrow, leading to an overproduction of abnormal white blood cells. There are different types of leukemia, and symptoms can vary depending on the specific type and stage of the disease"
all,both,Fatigue,Jaundice,Pale Skin,Dark Urine,Enlarged Spleen,Abdominal Pain,Shortness of Breath,Irregular Heartbeat,none,none,none,none,Hemolytic anemia,"Hemolytic anemia is a condition characterized by the accelerated destruction of red blood cells, leading to a shortage of these cells in the bloodstream. This can result from various causes, including inherited conditions, autoimmune disorders, and certain medications."
old adult,both,Jaundice,Abdominal pain,weight loss,Loss of appetite,Digestive problems,Fatigue,none,none,none,none,none,none,Pancreatic cancer,"Pancreatic cancer is a type of cancer that starts in the pancreas, an organ located behind the stomach."
old adult,both,Headaches,Vision problems,Shortness of breath,Chest pain,lightheadedness,Fatigue,none,none,none,none,none,none,Hypertension,"Hypertension, or high blood pressure, is a common medical condition characterized by elevated blood pressure in the arteries. It is a significant risk factor for various cardiovascular diseases, including heart attack and stroke."
young adult,both,Weight loss,Increased heart rate,Nervousness,Heat intolerance,Fatigue,Tremors,Enlarged thyroid gland,Exophthalmos,Insomnia,none,none,none,Hyperthyroidism,"Hyperthyroidism is a condition where the thyroid gland produces an excessive amount of thyroid hormones. The thyroid hormones play a crucial role in regulating the body's metabolism. Common causes of hyperthyroidism include Graves' disease, toxic multinodular goiter, and thyroiditis."
all,both,Weight Gain,Buffalo Hump,Thinning of the Skin,Muscle Weakness,High Blood Pressure,Mood Changes,Irregular Menstrual Periods,Osteoporosis,High Blood Sugar,none,none,none,Cushing's disease,"Cushing's disease is a rare condition that occurs when your body is exposed to high levels of the hormone cortisol for a long time. It is primarily caused by a tumor in the pituitary gland, leading to an overproduction of adrenocorticotropic hormone (ACTH), which, in turn, stimulates the adrenal glands to produce excessive cortisol."
middle adult,both,high blood pressure,low potassium levels,Excessive thirst,Headache,Muscle weakness,none,none,none,none,none,none,none,Conn syndrome,"Conn syndrome, also known as primary hyperaldosteronism, is a medical condition characterized by the overproduction of aldosterone, a hormone that regulates salt and water balance in the body. It is usually caused by a benign tumor on one or both adrenal glands."
young adult,male,Fatigue,Abdominal discomfort,Difficulty concentrating,none,none,none,none,none,none,none,none,none,Gilbert syndrome,"Gilbert syndrome is a genetic disorder that affects the liver's ability to process bilirubin, a substance produced by the breakdown of red blood cells. It is generally considered a benign condition and does not usually require treatment."
early childhood,both,Jaundice,Hepatomegaly,Kernicterus,none,none,none,none,none,none,none,none,none,Crigler Najjar syndrome,"Crigler-Najjar syndrome is a rare genetic disorder characterized by the inability of the body to process bilirubin, a substance produced during the normal breakdown of red blood cells. Bilirubin can accumulate in the blood and tissues, leading to jaundice and potential complications."
all,both,Swelling,Pain,Discoloration,Limited Range of Motion,none,none,none,none,none,none,none,none,Hematoma,"hematoma is not a disease in itself but rather a collection of blood outside of blood vessels. Hematomas can occur due to trauma, injury, or underlying medical conditions."
all,both,Thirst,Dry mouth,Fatigue,lightheadedness,Headache,Rapid heartbeat,Sunken eyes,none,none,none,none,none,Dehydration,"dehydration itself is not a disease but a condition resulting from the loss of more fluids than the body takes in. It can occur due to various reasons such as inadequate fluid intake, excessive sweating, vomiting, diarrhea, or certain medical conditions."
all,both,Jaundice,Jaundice,Fatigue,none,none,none,none,none,none,none,none,none,rotor syndrome,"Rotor syndrome is a genetic disorder characterized by elevated levels of bilirubin in the blood, leading to a yellowing of the skin and eyes (jaundice). It is a rare condition and is not associated with a specific gender or age group."
all,both,Jaundice,Dark Urine,Enlarged Liver,Abdominal Pain,Fatigue,none,none,none,none,none,none,none,Dubin-Johnson syndrome,"Dubin-Johnson syndrome is a rare, inherited disorder characterized by impaired liver function. However, it is generally considered to be a benign condition, and individuals with this syndrome often do not experience severe health problems. Unfortunately, there is no cure for Dubin-Johnson syndrome, but management focuses on treating symptoms and preventing complications."
all,both,Fatigue,Abdominal pain,Dark urine,Pale-colored stool,Jaundice,none,none,none,none,none,none,none,drug hepatitis,"Hepatitis is a disease characterized by inflammation of the liver, and it can be caused by various factors, including viral infections, alcohol consumption, and certain medications. There are several types of viral hepatitis, with the most common being hepatitis A, B, and C."
young adult,both,Hepatitis,Jaundice,Abdominal pain,Easy bruising,Anemia,Fatigue,none,none,none,none,none,none,wilson disease,"Wilson's disease is a rare genetic disorder characterized by the accumulation of copper in the body, particularly in the liver, brain, and other organs. It is caused by a mutation in the ATP7B gene, leading to impaired copper transport and metabolism."
middle adult,male,Fatigue,Weakness,Joint pain,Abdominal pain,Heart problems,Liver dysfunction,Diabetes,none,none,none,none,none,Hemochromatosis,"Hemochromatosis is a genetic disorder characterized by the excessive accumulation of iron in the body. This can lead to iron overload, which can damage organs such as the liver, heart, and pancreas. It's important to note that while I can provide information, seeking advice from a healthcare professional is essential for an accurate diagnosis and proper treatment plan."
early childhood,both,Cognitive decline,Developmental delays,Seizures,Enlarged liver,Enlarged heart,Bone pain,Joint stiffness,none,none,none,none,none,Lysosomal storage diseases,"Lysosomal storage diseases (LSDs) are a group of rare inherited disorders caused by the deficiency of specific enzymes required for normal cellular function. These enzymes are responsible for breaking down various substances within lysosomes, the cell's recycling center. When these enzymes are deficient or absent, the substances accumulate, leading to cellular dysfunction and damage."
early childhood,both,Hypoglycemia,Hepatomegaly,Muscle Weakness,Hyperlipidemia,Hyperuricemia,Lactic Acidosis,Cardiomyopathy,none,none,none,none,none,Glycogen storage diseases,"Glycogen storage diseases (GSDs) are a group of rare inherited disorders that affect the way the body stores and uses glycogen, a form of sugar that serves as an energy reserve. There are various types of GSDs, each caused by a deficiency of a specific enzyme involved in glycogen metabolism."
all,both,Fatigue,Easy Bruising,Swelling,Itchy Skin,Jaundice,Confusion,Weight loss,none,none,none,none,none,Cirrhosis,"Cirrhosis is a late stage of scarring (fibrosis) of the liver caused by many forms of liver diseases and conditions, such as hepatitis and chronic alcoholism. It is characterized by the replacement of normal liver tissue with scar tissue, which can lead to impaired liver function."
all,both,Abdominal Pain,Jaundice,Elevated Liver Enzymes,Fatigue,Nausea,Confusion,Low Blood Pressure,none,none,none,none,none,ischemic hepatitis,"Ischemic hepatitis, also known as shock liver or hypoxic hepatitis, is a condition where there is insufficient blood supply to the liver, leading to liver damage. It is often associated with conditions causing systemic hypoperfusion or shock. The information provided here is general, and individual cases can vary. Always consult a healthcare professional for personalized advice"
old adult,both,Shortness of Breath,Fatigue,Swelling,Persistent Cough,Irregular Heartbeat,Reduced Exercise Tolerance,Weight Gain,Appetite Changes,none,none,none,none,congestive heart failure,"Congestive heart failure is a chronic condition, and while it may not be completely curable, its symptoms can often be managed effectively with medications, lifestyle changes, and, in some cases, surgical interventions. It is crucial to follow a comprehensive treatment plan developed in consultation with a healthcare professional."
all,both,Abdominal Pain,Jaundice,Weight Loss,Fatigue,Loss of Appetite,Nausea,Changes in Bowel Habits,none,none,none,none,none,liver metostases,"The management of liver metastases typically involves a comprehensive approach, including treatments targeted at the primary cancer, surgical interventions, chemotherapy, radiation therapy, and other supportive measures. Palliative care may also be employed to alleviate symptoms and enhance the patient's quality of life."
all,female,Jaundice,Abdominal Pain,Weight Loss,Swelling,Fatigue,Loss of Appetite,Nausea,Enlarged Liver,Change in Bowel Habits,none,none,none,Hepatocellular carcinoma,"Hepatocellular carcinoma (HCC) is the most common type of primary liver cancer, and it typically develops in individuals with chronic liver diseases such as cirrhosis. It's essential to note that while I can provide general information, seeking guidance from a healthcare professional for personalized advice is crucial."
middle adult,female,Fatigue,Itching,Abdominal Pain,Jaundice,Dry Eyes,Joint Pain,Osteoporosis,none,none,none,none,none,Primary Biliary Cholangitis,"Primary Biliary Cholangitis is a chronic liver disease. While there may not be a complete cure, various treatments can help manage symptoms and slow the progression of the disease. It's important to work closely with a healthcare professional to create an individualized treatment plan."
all,both,Fatigue,Fever,Weight Loss,Itching,Swelling,Increased Susceptibility,none,none,none,none,none,none,Lymphoma,"Lymphoma is a type of cancer that originates in the lymphatic system, which is a part of the body's immune system. Lymphomas can be broadly categorized into two main types: Hodgkin lymphoma and non-Hodgkin lymphoma. Each type has different subtypes, and the presentation and treatment can vary."
young adult,female,Joint Pain,Skin Rashes,Fatigue,Fever,Photosensitivity,Chest Pain,none,none,none,none,none,none,Systemic Lupus Erythematosus,"Systemic Lupus Erythematosus (SLE), commonly referred to as lupus, is an autoimmune disease where the immune system mistakenly attacks healthy tissues in various parts of the body. While there is no cure for lupus, symptoms can often be managed with medical treatment and lifestyle adjustments. It's crucial to work closely with healthcare professionals for personalized advice and care."
all,both,Abdominal Pain,Nausea,Fever,Liver Enlargement,Jaundice,Digestive Issues,Allergic Reactions,Weight Loss,none,none,none,none,Fasciola hepatica,"Fascioliasis is a parasitic infection, and appropriate treatment involves anti-parasitic medications. It is crucial to consult with a healthcare professional for an accurate diagnosis and a tailored treatment plan."
all,both,Abdominal Pain,Jaundice,Loss of Appetite,Changes in Stool Color,Fever,Bloating,none,none,none,none,none,none,Gallbladder Carcinoma,"Gallbladder carcinoma, also known as gallbladder cancer, is a relatively rare but aggressive form of cancer that originates in the gallbladder. Unfortunately, early detection is challenging, and symptoms often become apparent in advanced stages. Treatment options may include surgery, chemotherapy, and other interventions, depending on the extent of the disease. It's crucial to consult with healthcare professionals for proper diagnosis and treatment."
young adult,female,Irregular Menstrual Cycles,Breast Tenderness,Mood Swings,Weight Gain,Insomnia,Fatigue,Headaches,Decreased Libido,Fibrocystic Breast Changes,none,none,none,Estrogen Dominance,"Estrogen dominance is not recognized as a disease but rather a term used to describe a hormonal imbalance in which there is an excess of estrogen relative to other sex hormones, such as progesterone. This condition is more commonly associated with women, but it can also affect men. It's essential to note that ""estrogen dominance"" is a controversial term, and not all healthcare professionals use it. If you suspect hormonal imbalances, it's crucial to consult with a healthcare provider for proper diagnosis and guidance."
young adult,female,Irregular menstrual cycles,Polycystic ovaries,Insulin resistance,potential weight gain,male-pattern baldness,none,none,none,none,none,none,none,Hormonal Disorders,"Hormonal disorders can encompass a wide range of conditions affecting the endocrine system, which is responsible for producing and regulating hormones. These disorders can affect men and women of various ages, and the symptoms can vary significantly based on the specific hormonal imbalance."
all,both,Fever,Chills,Chest,Back Pain,Nausea,Dark Urine,Irregular Heartbeat,none,none,none,none,none,Acute Hemolytic Reaction,"An acute hemolytic reaction is a severe and potentially life-threatening response that occurs when incompatible blood is transfused into an individual, leading to the destruction of red blood cells. This situation is a medical emergency, and immediate intervention is required. It's important to note that this is not a disease in the traditional sense, but a reaction to a medical procedure. The risk is not gender-specific, and anyone undergoing a blood transfusion can potentially experience this reaction."
all,both,Sneezing,Coughing,Shortness of breath,Wheezing,Nausea,Vomiting,Diarrhea,irregular heartbeat,Drop in blood pressure,none,none,none,Allergic Reaction,"An allergic reaction is not a specific disease but a response by the immune system to a substance that is usually harmless. The severity and symptoms of allergic reactions can vary widely. Common triggers include certain foods, insect stings, medications, and airborne allergens such as pollen or pet dander."
all,both,Fever,Chills,Rigors,Malaise,Headache,Muscle Aches,Nausea,none,none,none,none,none,Febrile Non-Hemolytic Reaction,"Febrile Non-Hemolytic Reaction (FNHTR) is not a disease itself but rather a transfusion reaction that can occur when receiving a blood transfusion. It is an immune response characterized by fever, chills, and occasionally rigors, without evidence of hemolysis (destruction of red blood cells). FNHTRs are generally not life-threatening, and appropriate management involves supportive care and measures to prevent future reactions."
all,both,Shortness of breath,Rapid breathing,Chest pain,Cough,none,none,none,none,none,none,none,none,Transfusion-Related Acute Lung Injury,Transfusion-Related Acute Lung Injury (TRALI) is a rare but potentially severe complication associated with blood transfusions. It is characterized by the sudden onset of respiratory distress within six hours of receiving a blood product. It is not a disease per se but a transfusion reaction that can occur in individuals who receive blood components. Here's some information:
middle adult,both,Vomiting blood,tarry stools,Weakness,blood loss,Fatigue,Abdominal swelling,weight loss,none,none,none,none,none,Esophageal Varices,"Esophageal varices are enlarged veins in the lower part of the esophagus, often caused by cirrhosis or other liver diseases. These veins can be prone to bleeding, and complications can be severe. Managing esophageal varices involves addressing the underlying liver condition and preventing or treating complications."
old adult,both,Abdominal Pain,Fever,Change in Bowel Habits,Nausea,Bloating,none,none,none,none,none,none,none,Diverticular Disease,"Diverticular disease involves the presence of small pouches (diverticula) that can form in the walls of the colon. When these pouches become inflamed or infected, it is referred to as diverticulitis."
old adult,both,Abdominal Pain,Pulsatile Mass,Fever,Weakness,Pale skin,Rapid breathing,none,none,none,none,none,none,Aortoenteric Fistula,"An aortoenteric fistula is a rare and serious condition characterized by an abnormal connection (fistula) between the aorta (the main artery) and the intestine. This condition is often associated with previous abdominal aortic surgery, such as aortic aneurysm repair. It is considered a medical emergency due to the risk of life-threatening bleeding and infection"
all,both,Bleeding,Anal Itching,Visible Tear,Chronic Fissures,none,none,none,none,none,none,none,none,Anal Fissures,"Anal fissures are small tears or cracks in the lining of the anus, and they can cause pain and bleeding during bowel movements. This condition is not typically categorized as a disease but rather a common and treatable issue."
all,both,Irritation,Discomfort,Bleeding,Swelling,Mucus Discharge,none,none,none,none,none,none,none,Hemorrhoids,"Hemorrhoids are swollen and inflamed veins in the rectum and anus that result in discomfort and bleeding. While they are a common condition, seeking relief often involves self-care measures, lifestyle modifications, and medical treatments."
old adult,both,Gastrointestinal Bleeding,Anemia,Abdominal Pain,Change in Bowel Habits,Fatigue,none,none,none,none,none,none,none,Angiodysplasia,"Angiodysplasia refers to abnormal, dilated blood vessels in the gastrointestinal (GI) tract. These blood vessels are prone to bleeding, leading to various complications."
old adult,both,Hematemesis,Melena,Abdominal Pain,Weakness,Fatigue,Lightheadedness,none,none,none,none,none,none,Mallory-Weiss tears,Mallory-Weiss tears are lacerations or tears in the mucous membrane lining the lower part of the esophagus or the upper part of the stomach. They are typically associated with severe vomiting or retching and can lead to bleeding.
all,both,Pain,Swelling,Fever,Discharge,Difficulty Sitting,Bowel Movement Changes,General Malaise,none,none,none,none,none,Anorectal Abscess,"An anorectal abscess is a painful condition characterized by a collection of pus near the anus or rectum. It often occurs as a result of an infection in the anal glands. Treatment typically involves drainage of the abscess and, in some cases, antibiotics. Consultation with a healthcare professional is crucial for an accurate diagnosis and appropriate management."
all,both,Nausea,Diarrhea,Weakness,Fever,Dehydration,Skin Changes,Hair Loss,Bone Marrow Suppression,Central Nervous,Gastrointestinal Effects,Cardiovascular Effects,none,Post-Radiation Syndrome,"Post-radiation syndrome, also known as radiation sickness or acute radiation syndrome (ARS), refers to a range of symptoms that can occur after exposure to high levels of ionizing radiation. It is not a specific disease but rather a collection of symptoms resulting from radiation damage to cells and tissues."
early childhood,both,Abdominal Pain,Abdominal Swelling,Vomiting,Bloody Stools,Pulling Legs,Lethargy,none,none,none,none,none,none,Intussusception,"Intussusception is a medical condition in which one part of the intestine invaginates, or telescopes, into another part of the intestine. It is more common in infants and young children but can occur at any age. This condition is considered a medical emergency and requires prompt medical attention"
early childhood,both,Abdominal Pain,Vomiting,Abdominal Distension,Bloody Stool,Irritability,Shock,none,none,none,none,none,none,Midgut Volvulus,"Midgut volvulus is a medical emergency involving the twisting of the intestines, often leading to obstruction and compromised blood flow. This condition is typically seen in infants and children"
early childhood,both,Feeding Intolerance,Abdominal Distension,Bloody Stools,Changes in Vital Signs,Lethargy,Temperature Instability,Respiratory Distress,Signs of Peritonitis,none,none,none,none,Necrotizing enterocolitis,"Necrotizing enterocolitis (NEC) is a serious medical condition, primarily affecting premature infants, especially those born before 32 weeks of gestation. It involves inflammation and damage to the intestinal tissue, and it is considered a medical emergency."
early childhood,both,Bloody Diarrhea,Hemolytic Anemia,Kidney Dysfunction,Thrombocytopenia,Abdominal Pain,Fatigue,Neurological Symptoms,none,none,none,none,none,Hemolytic Uremic Syndrome,"Hemolytic Uremic Syndrome (HUS) is a rare but serious condition that primarily affects the kidneys. It is often triggered by certain types of bacterial infections, with Escherichia coli (E. coli) being a common culprit. HUS can occur in individuals of any age, but it is most commonly seen in children."
middle childhood,both,Hives,Sneezing,stuffy nose,Shortness of breath,Wheezing,Nausea,Vomiting,Diarrhea,Abdominal pain,weak pulse,none,none,Food Protein Allergy,"Food protein allergies are immune system reactions to proteins in certain foods. These allergies can affect people of any age, and symptoms can vary widely in severity. Managing a food protein allergy involves strict avoidance of the triggering food and, in case of accidental exposure, prompt treatment of symptoms. Consultation with an allergist is essential for proper diagnosis and guidance."
middle childhood,male,Bleeding,Abdominal pain,Vomiting,Fever,Peritonitis,none,none,none,none,none,none,none,Meckel Diverticulum,"Meckel diverticulum is a congenital abnormality in the small intestine, where a pouch-like structure forms due to incomplete closure of the vitelline duct during fetal development. While many people with Meckel diverticulum may not experience symptoms, it can lead to complications such as inflammation, bleeding, or obstruction."
early childhood,both,Purpura,Joint Pain,Abdominal pain,Nausea,Vomiting,Fever,none,none,none,none,none,none,Henoch-Schönlein Purpura,"Henoch-Schönlein Purpura (HSP) is a rare condition that involves inflammation of the small blood vessels, primarily affecting the skin, joints, intestines, and kidneys. It is more common in children than in adults."
old adult,both,Bleeding,Change in Bowel Habits,Abdominal Pain,Anemia,none,none,none,none,none,none,none,none,Colorectal Polyps,"Polyps are abnormal growths that can develop in various organs of the body, including the colon, stomach, uterus, and nasal passages. The term ""polyps"" is not a specific disease but rather a general description of these growths. The management and symptoms can vary depending on the location and type of polyps."
old adult,both,Change in Bowel Habits,Rectal Bleeding,Abdominal Discomfort,Weight Loss,Fatigue,Iron Deficiency Anemia,Incomplete Bowel Movements,Narrow Stools,none,none,none,none,Colorectal Cancer,"Colorectal cancer is a type of cancer that originates in the colon or rectum. Early detection and treatment are crucial for better outcomes. If you suspect colorectal cancer or are experiencing symptoms, it's important to seek prompt medical attention."
early childhood,both,Easy Bruising,Prolonged Bleeding,Frequent Nosebleeds,Heavy Menstrual Bleeding,Bleeding Gums,Blood in Stool,Joint Bleeding,none,none,none,none,none,Bleeding Diathesis,"""Bleeding diathesis"" is a term used to describe a tendency to bleed excessively due to an underlying disorder or condition affecting the blood's ability to clot properly. It is not a specific disease but rather a category of conditions related to bleeding disorders. There are various types of bleeding diatheses, including hemophilia, von Willebrand disease, and other inherited or acquired disorders."
young adult,both,Rectal Bleeding,Rectal Pain,Straining During Bowel Movements,Mucous Discharge,Incomplete Bowel Movements,Prolapse of the Rectum,Change in Bowel Habits,none,none,none,none,none,Solitary Rectal Ulcer Syndrome,"Solitary rectal ulcer syndrome (SRUS) is a rare condition characterized by the presence of ulcers in the rectum. While the exact cause is not well understood, it is often associated with abnormal bowel habits and straining during bowel movements. The management of SRUS involves addressing symptoms and improving bowel function."
all,both,Seizures,Headaches,Weakness,Difficulty speaking,Sudden,Vomiting,Tinnitus,Vision problems,Cognitive impairments,none,none,none,Arteriovenous Malformation,"Arteriovenous malformations (AVMs) are abnormal tangles of arteries and veins, often congenital, that can occur in various parts of the body, including the brain. The severity and symptoms of AVMs can vary, and their management depends on the location and characteristics of the malformation."
